time=2026-05-26T18:08:06.032-07:00 level=INFO source=routes.go:1802 msg="server config" env="map[HTTPS_PROXY: HTTP_PROXY: NO_PROXY: OLLAMA_CONTEXT_LENGTH:0 OLLAMA_DEBUG:INFO OLLAMA_DEBUG_LOG_REQUESTS:false OLLAMA_EDITOR: OLLAMA_FLASH_ATTENTION:false OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://0.0.0.0:11434 OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:0 OLLAMA_MAX_QUEUE:512 OLLAMA_MAX_TRANSFER_STREAMS:4 OLLAMA_MODELS:/Users/rich/.ollama/models OLLAMA_MULTIUSER_CACHE:false OLLAMA_NEW_ENGINE:false OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NO_CLOUD:false OLLAMA_NUM_PARALLEL:1 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_REMOTES:[ollama.com] OLLAMA_SCHED_SPREAD:false http_proxy: https_proxy: no_proxy:]"
time=2026-05-26T18:08:06.032-07:00 level=INFO source=routes.go:1804 msg="Ollama cloud disabled: false"
time=2026-05-26T18:08:06.034-07:00 level=INFO source=images.go:517 msg="total blobs: 45"
time=2026-05-26T18:08:06.034-07:00 level=INFO source=images.go:524 msg="total unused blobs removed: 0"
time=2026-05-26T18:08:06.035-07:00 level=INFO source=routes.go:1864 msg="Listening on [::]:11434 (version 0.24.0)"
time=2026-05-26T18:08:06.035-07:00 level=INFO source=runner.go:67 msg="discovering available GPUs..."
time=2026-05-26T18:08:06.036-07:00 level=INFO source=server.go:433 msg="starting runner" cmd="/Applications/Ollama.app/Contents/Resources/ollama runner --ollama-engine --port 49708"
time=2026-05-26T18:08:06.108-07:00 level=INFO source=types.go:42 msg="inference compute" id=0 filter_id=0 library=Metal compute=0.0 name=Metal description="Apple M4 Pro" libdirs="" driver=0.0 pci_id="" type=discrete total="36.0 GiB" available="36.0 GiB"
time=2026-05-26T18:08:06.108-07:00 level=INFO source=routes.go:1914 msg="vram-based default context" total_vram="36.0 GiB" default_num_ctx=32768
time=2026-05-26T18:08:06.835-07:00 level=INFO source=model_recommendations.go:177 msg="model recommendations cache sleep scheduled" wait=3h55m18.386869232s consecutive_failures=0
time=2026-05-26T22:03:25.981-07:00 level=INFO source=model_recommendations.go:177 msg="model recommendations cache sleep scheduled" wait=3h35m5.334177515s consecutive_failures=0
time=2026-05-27T01:38:31.880-07:00 level=INFO source=model_recommendations.go:177 msg="model recommendations cache sleep scheduled" wait=3h28m6.312057775s consecutive_failures=0
time=2026-05-27T05:06:38.859-07:00 level=INFO source=model_recommendations.go:177 msg="model recommendations cache sleep scheduled" wait=3h58m7.158278706s consecutive_failures=0
time=2026-05-27T09:04:46.834-07:00 level=INFO source=model_recommendations.go:177 msg="model recommendations cache sleep scheduled" wait=3h38m33.496518169s consecutive_failures=0
time=2026-05-27T12:43:21.056-07:00 level=INFO source=model_recommendations.go:177 msg="model recommendations cache sleep scheduled" wait=4h15m23.106061161s consecutive_failures=0
time=2026-05-27T16:58:45.072-07:00 level=INFO source=model_recommendations.go:177 msg="model recommendations cache sleep scheduled" wait=4h31m44.523668519s consecutive_failures=0
time=2026-05-27T21:30:30.621-07:00 level=INFO source=model_recommendations.go:177 msg="model recommendations cache sleep scheduled" wait=4h40m23.29439493s consecutive_failures=0
time=2026-05-28T02:10:54.692-07:00 level=INFO source=model_recommendations.go:177 msg="model recommendations cache sleep scheduled" wait=3h33m25.127897345s consecutive_failures=0
time=2026-05-28T05:44:20.470-07:00 level=INFO source=model_recommendations.go:177 msg="model recommendations cache sleep scheduled" wait=4h17m48.234439041s consecutive_failures=0
